Time [sec], Encoder [-], Position [rad], Speed [rad/s], Voltage [V], Current [A]
      3.91,        3888,         5.1522,      0.000000,      0.0000,        0.05
      3.92,        3888,         5.1522,      0.000000,      0.0000,        0.05
      3.93,        3888,         5.1522,      0.000000,      0.0000,        0.06
      3.94,        3888,         5.1522,      0.000000,      0.0000,        0.05
      3.95,        3888,         5.1522,      0.000000,      0.0000,        0.03
      3.96,        3888,         5.1522,      0.000000,      0.0000,        0.05
      3.97,        3888,         5.1522,      0.000000,      0.0000,        0.04
      3.98,        3888,         5.1522,      0.000000,      0.0000,        0.05
      3.99,        3888,         5.1522,      0.000000,      0.0000,        0.03
      4.00,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.01,        3888,         5.1522,      0.000000,      0.0000,        0.03
      4.02,        3888,         5.1522,      0.000000,      0.0000,        0.03
      4.03,        3888,         5.1522,      0.000000,      0.0000,        0.04
      4.04,        3888,         5.1522,      0.000000,      0.0000,        0.01
      4.05,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.06,        3888,         5.1522,      0.000000,      0.0000,        0.03
      4.07,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.08,        3888,         5.1522,      0.000000,      0.0000,        0.04
      4.09,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.10,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.11,        3888,         5.1522,      0.000000,      0.0000,        0.03
      4.12,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.13,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.14,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.15,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.16,        3888,         5.1522,      0.000000,      0.0000,        0.06
      4.17,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.18,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.19,        3888,         5.1522,      0.000000,      0.0000,        0.06
      4.20,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.21,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.22,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.23,        3888,         5.1522,      0.000000,      0.0000,        0.04
      4.24,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.25,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.26,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.27,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.28,        3888,         5.1522,      0.000000,      0.0000,        0.04
      4.29,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.30,        3888,         5.1522,      0.000000,      0.0000,        0.06
      4.31,        3888,         5.1522,      0.000000,      0.0000,        0.03
